"email","leadsource","cost"
"email144@att.net","Web","0"
"email145@gmail.com","Web","0"
"email146@gmail.com","devexemail","49.57"
"email147@gmail.com","cdetscholsite","34.47"
"email148@gmail.com","Web","0"
"email149@gmail.com","Web","0"
"email150@gmail.com","Web","0"
"email151@state.gov","linkedinspcpc","130.26"
"email152@gmail.com","Web","0"
"email153@hotmail.com","Web","0"
"email154@yahoo.com","lead.LeadSource","14.7"
"email155@hood.edu","facebookcpc","20.2"
"email156@gmail.com","Web","0"
"email157@my.unt.edu","GRE","136.19"
"email158@gmail.com","devexemail","47.91"
"email159@maurastephens.com","Direct Apply","0"
"email160@milwaukee.k12.wi.us","footprintscplsite","29.69"
"email161@gmail.com","Web","0"
"email162@gmail.com","Web","0"
"email163@gmail.com","usnewscollegedegreesauir","40.1"
"email164@gmail.com","Web","0"
"email165@yahoo.com","Web","0"
"email166@gmail.com","Web","0"
"email167@gmail.com","Web","0"
"email168@gmail.com","Web","0"
"email169@gmail.com","Web","0"
"email170@gmail.com","search_brand_google","115.18"
"email171@outlook.com","Web","0"
"email172@gmail.com","search_nonbrand_google","8.24"
"email173@gmail.com","search_nonbrand_google","7.04"
"email174@gmail.com","Web","0"
"email175@hotmail.com","devexemail","97.39"
"email176@gmail.com","Direct Apply","0"
"email177@me.com","usnewscollegedegreesauir","16.83"
"email178@gmail.com","Web","0"
"email179@gmail.com","Web","0"
"email180@yahoo.com","devexemail","99.81"
"email181@gmail.com","facebookcpc","36.77"
"email182@gmail.com","facebookcpc","67.74"
"email183@yahoo.com.br","xyzauir","71.02"
"email184@udel.edu","linkedinspcpc","154.26"
"email185@gmail.com","Web","0"
"email186@2u.com","Web","0"
"email187@gmail.com","Web","0"
"email188@gmail.com","facebookcpc","18.65"
"email189@cedarville.edu","linkedinspcpc","69.79"
"email190@gmail.com","Web","0"
"email191@hotmail.com","facebookcpc","137.8"
"email192@gmail.com","Web","0"
"email193@state.gov","Webinar","0"
"email194@gmail.com","gmailbeta","2.01"
"email195@penfield.edu","Web","0"
"email196@gmail.com","Web","0"
"email197@yahoo.com","facebookcpc","67.87"
"email198@gmail.com","Web","0"
"email199@hotmail.com","Web","0"
"email200@me.com","Direct Apply","0"
"email201@gmail.com","Web","0"
"email202@hotmail.com","footprintscplsite","113.48"
"email203@gmail.com","linkedinspcpc","10.76"
"email204@hotmaul.com","Web","0"
"email205@gmail.com","Direct Apply","0"
"email206@gmail.com","Direct Apply","0"
"email207@gmail.com","Web","0"
"email208@hotmail.com","Web","0"
"email209@iicep.org","Direct Apply","0"
"email210@gmail.com","Web","0"
"email211@gmail.com","Webinar","0"
"email212@live.com","devexemail","20.53"
"email213@yahoo.com","elearnersauir","95.22"
"email214@mail.chapman.edu","gradschoolsauir","99"
"email215@gmail.com","elearnersauir","26.84"
"email216@yahoo.com","Direct Apply","0"
"email217@gmail.com","linkedinspcpc","66.63"
"email218@icloud.com","elearnersauir","1.69"
"email219@aol.com","facebookcpc","14.79"
"email220@uwosh.edu","elearnersauir","36.52"
"email221@gmail.com","elearnersauir","52.82"
"email222@gmail.com","search_brand_google","109.41"
"email223@yahoo.fr","facebookcpc","78.89"
"email224@yahoo.com","devexemail","61.52"
"email225@yahoo.com","Web","0"
"email226@yahoo.com","facebookcpc","63.58"
"email227@hotmail.com","Web","0"
"email228@yahoo.com","Web","0"
"email229@outlook.com","elearnersauir","146.76"
"email230@vcu.edu","Web","0"
"email231@gmail.com","elearnersauir","15.04"
"email232@gmail.com","Web","0"
"email233@gmail.com","Web","0"
"email234@philmaxwell.com","Web","0"
"email235@gmail.com","facebookcpc","19.1"
"email236@marshallschools.com","Web","0"
"email237@yahoo.com","elearnersauir","15.06"
"email238@gmail.com","elearnersauir","10.54"
"email239@hotmail.com","",""
"email240@gmil.com","Direct Apply","0"
"email241@gmail.com","search_nonbrand_google","48.53"
"email242@ucdavis.edu","elearnersauir","34.47"
"email243@aol.com","Web","0"
"email244@gmail.com","Web","0"
"email245@gmail.com","gradschoolsauir","103.28"
"email246@gmail.com","gradschoolsauir","179.62"
"email247@usc.ed","Web","0"
"email248@gmail.com","search_nonbrand_google","53.8"
"email249@aol.com","elearnersauir","92.88"
"email250@mail.com","Web","0"
"email251@outlook.com","Web","0"
"email252@gmail.com","facebookcpc","52.25"
"email253@gmail.com","Web","0"
"email254@gmail.com","Web","0"
"email255@gmail.com","search_nonbrand_google","32.86"
"email256@gmail.com","Direct Apply","0"
"email257@gmail.com","elearnersauir","123.89"
"email258@kent.edu","elearnersauir","101.7"
"email259@aol.com","elearnersauir","89.55"
"email260@gmail.com","elearnersauir","65.86"
"email261@gmail.com","elearnersauir","37.33"
"email262@gmail.com","elearnersauir","84.07"
"email263@gmail.com","Direct Apply","0"
"email264@rediffmail.com","Web","0"
"email265@gmail.com","Web","0"
"email266@gmail.com","Web","0"
"email267@gmail.com","Web","0"
"email268@outlook.com","elearnersauir","100.54"
"email269@yahoo.com","edassistscholsite","1.9"
"email270@yahoo.com","Web","0"
"email271@gmail.com","Web","0"
"email272@gmail.com","linkedinspcpc","33.99"
"email273@yahoo.com","Web","0"
"email274@gmail.com","eddydtsauir","47.05"
"email275@gmail.com","Web","0"
"email276@hotmail.com","Web","0"
"email277@gmail.com","elearnersauir","65.12"
"email278@gmail.com","Web","0"
"email279@gmail.com","Web","0"
"email280@gmail.com","Web","0"
"email281@hotmail.com","Direct Apply","0"
"email282@hotmail.com","search_brand_google","21.93"
"email283@kickpointllc.com","linkedinspcpc","24.76"
"email284@yahoo.com","linkedinspcpc","6.23"
"email285@ncsu.edu","gradschoolsauir","64.52"
"email286@att.net","eddydtsauir","103.05"
"email287@fortifyrights.org","Web","0"
"email288@gmail.com","elearnersauir","70.36"
"email289@gmail.com","Web","0"
"email290@gmail.com","facebookcpc","8.34"
"email291@gmail.com","elearnersauir","142.7"
"email292@gmail.com","facebookcpc","48.34"
"email293@gmail.com","elearnersauir","25.86"
"email294@gmail.com","elearnersauir","0.28"
"email295@gmail.com","Web","0"
"email296@kelly-ip.com","Direct Apply","0"
"email297@gmail.com","Web","0"
"email298@gmail.com","footprintscplsite","26.53"
"email299@icloud.com","search_brand_google","116.54"
"email300@wcc.net","devexemail","75.51"
"email301@kelly-ip.com","Direct Apply","0"
"email302@gmail.com","gradschoolsauir","73.71"
"email303@gmail.com","Web","0"
"email304@gmail.com","Web","0"
"email305@gmail.com","usnewscollegedegreesauir","105.35"
"email306@gmail.com","facebookcpc","89.24"
"email307@gmail.com","facebookcpc","15.95"
"email308@gmail.com","facebookcpc","38.91"
"email309@gmail.com","elearnersauir","15.47"
"email310@yahoo.com","elearnersauir","3.71"
"email311@smith.com","facebookcpc","124.64"
"email312@gmail.com","Web","0"
"email313@hotmail.com","Web","0"
"email314@att.net","facebookcpc","113.22"
"email315@fiu.edu","gradschoolsauir","26.21"
"email316@brandeis.edu","facebookcpc","7.61"
"email317@gmail.com","Web","0"
"email318@gmail.com","eddydtsauir","113.34"
"email319@yahoo.com","elearnersauir","197.18"
"email320@me.com","eddydtsauir","42.79"
"email321@gmail.com","elearnersauir","60.89"
"email322@yahoo.com","search_nonbrand_google","282.49"
"email323@yahoo.com","Web","0"
"email324@yahoo.com","gradschoolsauir","74.09"
"email325@brandeis.edu","gradschoolsauir","24.41"
"email326@gmail.com","Web","0"
"email327@gmail.com","facebookcpc","5.98"
"email328@gmail.com","",""
"email329@gmail.com","Web","0"
"email330@gmail.com","elearnersauir","2.44"
"email331@gmail.com","GRE","71.56"
"email332@yahoo.com","Web","0"
"email333@web.de","Web","0"
"email334@gmail.com","elearnersauir","65.01"
"email335@gmail.com","",""
"email336@gmail.com","Web","0"
"email337@gmail.com","elearnersauir","21.98"
"email338@gmail.com","Web","0"
"email339@gmail.com","Web","0"
"email340@gmail.com","elearnersauir","36.96"
"email341@gmail.com","search_nonbrand_google","174.96"
"email342@aol.com","elearnersauir","81.89"
"email343@hotmail.com","search_nonbrand_google","191.87"
"email344@gmail.com","search_nonbrand_google","207"
"email345@aol.com","Web","0"
"email346@gmail.com","Web","0"
"email347@gmail.com","Web","0"
"email348@gmail.com","Web","0"
"email349@gmail.com","elearnersauir","56.8"
"email350@yahoo.com","GRE","43.53"
"email351@gmail.com","Web","0"
"email352@yahoo.com","Web","0"
"email353@email.arizona.edu","elearnersauir","5.82"
"email354@gmail.com","elearnersauir","42.78"
"email355@sinewsglobal.com","Web","0"
"email356@live.com","elearnersauir","38.16"
"email357@gmail.com","gmailbeta","45.52"
"email358@yahoo.com","elearnersauir","89.81"
"email359@gmail.com","Web","0"
"email360@etbu.edu","eddydtsauir","74.31"
"email361@gmail.com","eddydtsauir","59.16"
"email362@gmail.com","eddydtsauir","56.65"
"email363@hotmail.it","Web","0"
"email364@yahoo.com","gradschoolsauir","14.98"
"email365@gmail.com","facebookcpc","35.92"
"email366@gmail.com","",""
"email367@2u.com","Direct Apply","0"
"email368@gmail.com","facebookcpc","46.56"
"email369@test.2u.com","Direct Apply","0"
"email370@2u.com","Direct Apply","0"
"email371@gmail.com","facebookcpc","70.58"
"email372@gmail.com","Web","0"
"email373@gmail.com","facebookcpc","237.69"
"email374@hotmail.com","facebookcpc","24.94"
"email375@hotmail.com","facebookcpc","18.33"
"email376@gmail.com","search_nonbrand_google","198.54"
"email377@yahoo.com","eddydtsauir","21.21"
"email378@muskingum.edu","Web","0"
"email379@hotmail.com","Web","0"
"email380@gmail.com","Web","0"
"email381@umiami.edu","eddydtsauir","27.81"
"email382@yahoo.com","facebookcpc","69.52"
"email383@gmail.com","Web","0"
"email384@gmail.com","facebookcpc","63.23"
"email385@mac.com","facebookcpc","110.73"
"email386@gmail.com","Web","0"
"email387@gmail.com","gradschoolsauir","145.19"
"email388@gmail.com","Web","0"
"email389@mail.ru","Webinar","0"
"email390@gmail.com","facebookcpc","8.69"
"email391@american.edu","Direct Apply","0"
"email392@gmail.com","Web","0"
"email393@gmail.com","facebookcpc","26.83"
"email394@yahoo.com","facebookcpc","151.49"
"email395@gmail.com","Web","0"
"email396@family-vet.com","facebookcpc","74.21"
"email397@live.com","facebookcpc","48.41"
"email398@yahoo.com","gradschoolsauir","100.28"
"email399@gmail.com","Web","0"
"email400@gmail.com","Web","0"
"email401@yahoo.fr","Web","0"
"email402@gmail.com","linkedinspcpc","185.9"
"email403@gmaill.com","facebookcpc","35.02"
"email404@johallawoffices.com","Web","0"
"email405@gmail.com","Web","0"
"email406@yahoo.com","Direct Apply","0"
"email407@gmail.com","Web","0"
"email408@yahoo.com","Web","0"
"email409@gmail.com","usnewscollegedegreesauir","60.06"
"email410@gmail.com","facebookcpc","104.13"
"email411@gmail.com","search_nonbrand_google","179.02"
"email412@yahoo.com","footprintscplsite","0.19"
"email413@gmail.com","Web","0"
"email414@gmail.com","Web","0"
"email415@gmail.com","Web","0"
"email416@uni.edu","Web","0"
"email417@gmail.com","usnewscollegedegreesauir","92.58"
"email418@my.wheaton.edu","search_nonbrand_google","277.39"
"email419@gmail.com","Web","0"
"email420@yahoo.com","gradschoolsauir","7.46"
"email421@hotmail.com","Web","0"
"email422@gmail.com","facebookcpc","41.67"
"email423@gmail.com","Web","0"
"email424@gmail.com","Web","0"
"email425@gmail.com","gmailbeta","5.39"
"email426@uwo.ca","facebookcpc","42.03"
"email427@yahoo.com","eddydtsauir","70.73"
"email428@comcast.net","linkedinspcpc","6.37"
"email429@gmail.com","gradschoolsauir","40.52"
"email430@gmail.com","facebookcpc","79.14"
"email431@gmail.com","facebookcpc","3.97"
"email432@outlook.com","facebookcpc","137.75"
"email433@yahoo.com","Web","0"
"email434@yahoo.com","facebookcpc","17.85"
"email435@gmail.com","facebookcpc","126.32"
"email436@yahoo.com","facebookcpc","100.72"
"email437@gmail.com","linkedinspcpc","36.05"
"email438@gmail.com","Web","0"
"email439@gmail.com","Web","0"
"email440@gmail.com","Web","0"
"email441@yahoo.com","search_nonbrand_google","74.76"
"email442@yahoo.com","cdetscholsite","45.29"
"email443@gmail.com","Web","0"
"email444@gmail.com","Web","0"
"email445@gmail.com","Web","0"
"email446@yahoo.com","facebookcpc","20.05"
"email447@yahoo.fr","Web","0"
"email448@gmail.com","Unknown","0.53"
"email449@gwu.edu","facebookcpc","37.32"
"email450@gmail.com","Web","0"
"email451@yahoo.com","Web","0"
"email452@gmail.com","footprintscplsite","14.44"
"email453@sosgambia.org","Web","0"
"email454@gmail.com","facebookcpc","130.15"
"email455@gmail.com","linkedinspcpc","42.55"
"email456@gmail.com","facebookcpc","76.34"
"email457@gulls.salisbury.edu","Web","0"
"email458@ifc.org","facebookcpc","23.23"
"email459@gmail.com","Web","0"
"email460@gmail.com","facebookcpc","38.22"
"email461@yahoo.com","eddydtsauir","76.38"
"email462@us.af.mil","gradschoolsauir","8.37"
"email463@upr.edu","Web","0"
"email464@no.no","facebookcpc","45.53"
"email465@american.edu","search_brand_google","14.22"
"email466@sbcglobal.net","usnewscollegedegreesauir","43"
"email467@gmail.com","facebookcpc","76.19"
"email468@gmail.com","eddydtsauir","43.65"
"email469@bloomfield.edu","Web","0"
"email470@gmail.com","search_nonbrand_google","121.17"
"email471@gmail.com","facebookcpc","2.13"
"email472@gmail.com","Direct Apply","0"
"email473@yahoo.com","linkedinspcpc","75.87"
"email474@gmail.com","Unknown","46.86"
"email475@yahoo.com","Web","0"
"email476@gmail.com","eddydtsauir","37.53"
"email477@yahoo.com","usnewscollegedegreesauir","57.65"
"email478@gmail.com","gradschoolsauir","9"
"email479@facebook.com","footprintscplsite","148.87"
"email480@gmail.com","Web","0"
"email481@voanews.com","facebookcpc","49.93"
"email482@verizon.net","facebookcpc","43.99"
"email483@gmail.com","Web","0"
"email484@gmail.com","search_nonbrand_google","268.92"
"email485@gmail.com","Web","0"
"email486@gmail.com","Direct Apply","0"
"email487@gmail.com","gradschoolsauir","45.38"
"email488@sru.edu","GRE","124.56"
"email489@gmail.com","facebookcpc","79.3"
"email490@yahoo.com","Web","0"
"email491@live.fr","Web","0"
"email492@hotmail.com","footprintscplsite","127.51"
"email493@msn.com","facebookcpc","63.06"
"email494@gmail.com","Web","0"
"email495@gmail.com","search_brand_google","97.63"
"email496@gmail.com","Web","0"
"email497@ndualumni.org","elearnersauir","9.83"
"email498@gmail.com","gradschoolsauir","131.32"
"email499@comcast.net","eddydtsauir","10.8"
"email500@hotmail.com","facebookcpc","19.34"
"email501@gmail.com","Web","0"
"email502@gmail.com","Web","0"
"email503@gmail.com","elearnersauir","33.51"
"email504@gmail.com","gradschoolsauir","62.64"
"email505@hotmail.com","facebookcpc","48.25"
"email506@live.kutztown.edu","elearnersauir","81.11"
"email507@gmail.com","facebookcpc","49.23"
"email508@gmail.com","Direct Apply","0"
"email509@gmail.com","Web","0"
"email510@gmail.com","Web","0"
"email511@gmail.com","facebookcpc","33.16"
"email512@park.edu","elearnersauir","40.36"
"email513@gmail.com","Web","0"
"email514@gmail.com","facebookcpc","14.26"
"email515@yahoo.com","Web","0"
"email516@yahoo.com","elearnersauir","146.58"
"email517@yahoo.com","Web","0"
"email518@yahoo.com","facebookcpc","135.27"
"email519@gmail.com","facebookcpc","91.81"
"email520@gmail.com","Web","0"
"email521@usm.edu","Web","0"
"email522@gmail.com","linkedinspcpc","148.66"
"email523@yahoo.com","facebookcpc","26.73"
"email524@aaaas.com","search_brand_google","169.78"
"email525@mail.mil","Web","0"
"email526@gmail.com","Web","0"
"email527@gmail.com","npcasite","5.2"
"email528@hotmail.com","eddydtsauir","122.2"
"email529@gmail.com","Web","0"
"email530@yahoo.com","facebookcpc","83.76"
"email531@gmail.com","elearnersauir","32.3"
"email532@ymail.com","gradschoolsauir","179.9"
"email533@gmail.com","Web","0"
"email534@gmail.com","facebookcpc","83.76"
"email535@gmail.com","linkedinspcpc","65.41"
"email536@gmail.com","Web","0"
"email537@terrynelson.realtor","Web","0"
"email538@hotmail.com","facebookcpc","146.16"
"email539@my.fsu.edu","gradschoolsauir","140.98"
"email540@gmail.com","Web","0"
"email541@gmail.com","Web","0"
"email542@gmail.com","facebookcpc","76.81"
"email543@gmail.com","Web","0"
"email544@hotmail.com","Web","0"
"email545@gmail.com","facebookcpc","25.02"
"email546@hotmail.com","elearnersauir","107.99"
"email547@gmail.com","Webinar","0"
"email548@yahoo.com","Web","0"
"email549@gmail.com","gradschoolsauir","21.42"
"email550@yahoo.com","elearnersauir","130.43"
"email551@gmail.com","Web","0"
"email552@gmail.com","Web","0"
"email553@gmail.com","Web","0"
"email554@gmail.com","Web","0"
"email555@gmail.com","Direct Apply","0"
"email556@gmail.com","Web","0"
"email557@gmail.com","usnewscollegedegreesauir","90.99"
"email558@gmail.com","linkedinspcpc","34.73"
"email559@mail.roanoke.edu","facebookcpc","76.31"
"email560@hotmail.com","elearnersauir","34.17"
"email561@yahoo.com","Web","0"
"email562@yahoo.com","Direct Apply","0"
"email563@gmail.com","Web","0"
"email564@gmail.com","linkedinspcpc","17.11"
"email565@baruchmail.cuny.edu","linkedinspcpc","20.84"
"email566@ymail.com","facebookcpc","54.77"
"email567@gmail.com","Web","0"
"email568@gmail.com","facebookcpc","62.21"
"email569@yahoo.com","footprintscplsite","61.37"
"email570@yahoo.com","facebookcpc","160.19"
"email571@gmail.com","Web","0"
"email572@gmail.com","gmailbeta","13.52"
"email573@gmail.com","search_nonbrand_google","31.76"
"email574@gmail.com","facebookcpc","178.75"
"email575@cedar-capital.com","elearnersauir","31.01"
"email576@gmail.com","beyondcplemail","58.61"
"email577@gmail.com","beyondcplemail","88.51"
"email578@gmail.com","Direct Apply","0"
"email579@aun.edu.ng","Web","0"
"email580@me.com","Web","0"
"email581@me.com","beyondcplemail","74.17"
"email582@gmail.com","facebookcpc","20"
"email583@gmail.com","beyondcplemail","15.34"
"email584@boothcyber.com","beyondcplemail","195.84"
"email585@gmail.com","beyondcplemail","162.17"
"email586@gmail.com","search_nonbrand_google","7.08"
"email587@gmail.com","elearnersauir","30.75"
"email588@gmail.com","Web","0"
"email589@gmail.com","beyondcplemail","60.32"
"email590@yahoo.com","beyondcplemail","13.7"
"email591@test.2u.com","Web","0"
"email592@gmail.com","Web","0"
"email593@me.com","search_nonbrand_google","76.22"
"email594@verizon.net","beyondcplemail","17.86"
"email595@gmail.com","gradschoolsauir","41.71"
"email596@aol.com","elearnersauir","76.63"
"email597@yahoo.com","Web","0"
"email598@gmail.com","facebookcpc","98.02"
"email599@yahoo.co.in","Web","0"
"email600@gmail.com","beyondcplemail","22.87"
"email601@earthlink.net","beyondcplemail","118.79"
"email602@gmail.com","elearnersauir","36.71"
"email603@yahoo.com","beyondcplemail","78.01"
"email604@stu.nbexcellence.org","Web","0"
"email605@yahoo.fr","facebookcpc","140.65"
"email606@mail.com","facebookcpc","113.05"
"email607@aol.com","beyondcplemail","50.03"
"email608@gmail.com","elearnersauir","72.85"
"email609@gmail.com","Web","0"
"email610@aol.com","beyondcplemail","23.53"
"email611@2u.com","",""
"email612@ucla.edu","elearnersauir","106.98"
"email613@gmail.com","beyondcplemail","122.1"
"email614@gmail.com","facebookcpc","17.71"
"email615@hotmail.com","beyondcplemail","16.08"
"email616@hotmail.com","Web","0"
"email617@gmail.com","elearnersauir","48.25"
"email618@hotmail.com","Web","0"
"email619@icloud.com","Web","0"
"email620@gmail.com","beyondcplemail","128.42"
"email621@my.fsu.edu","Web","0"
"email622@gmail.com","linkedinspcpc","61.19"
"email623@gmail.com","linkedinspcpc","296.26"
"email624@yahoo.com","eddydtsauir","49.97"
"email625@gmail.com","facebookcpc","16.8"
"email626@gmail.com","Direct Apply","0"
"email627@gmail.com","Web","0"
"email628@yahoo.com","footprintscplsite","93.08"
"email629@gmail.com","Web","0"
"email630@gmail.com","Web","0"
"email631@gmail.com","facebookcpc","52.23"
"email632@gmail.com","linkedinspcpc","32.96"
"email633@gmail.com","facebookcpc","96.25"
"email634@ymail.com","Web","0"
"email635@gmail.com","search_brand_google","112.31"
"email636@uci.edu","elearnersauir","169.36"
"email637@gmail.com","elearnersauir","160.15"
"email638@live.com","Direct Apply","0"
"email639@gmail.com","gradschoolsauir","56.86"
"email640@yahoo.com","Web","0"
"email641@hotmail.com","facebookcpc","90.52"
"email642@gmail.com","linkedinspcpc","98.24"
"email643@gmail.com","elearnersauir","17.11"
"email644@gmail.com","facebookcpc","39.37"
"email645@yahoo.com","Web","0"
"email646@yahoo.com","GRE","275.46"
"email647@yahoo.com","elearnersauir","116.58"
"email648@yahoo.fr","Web","0"
"email649@gmail.com","Web","0"
"email650@gmail.com","Direct Apply","0"
"email651@voanews.com","search_brand_google","45.97"
"email652@gmail.com","Web","0"
"email653@yahoo.com","gradschoolsauir","82.16"
"email654@knights.gannon.edu","Web","0"
"email655@gmail.com","Web","0"
"email656@gmail.com","Web","0"
"email657@gmail.com","Web","0"
"email658@gmail.com","gradschoolsauir","176.06"
"email659@gmail.com","Web","0"
"email660@asu.edu","linkedinspcpc","20.36"
"email661@yahoo.com","Direct Apply","0"
"email662@gmail.com","elearnersauir","79.08"
"email663@hotmail.com","Web","0"
"email664@yahoo.com","Web","0"
"email665@yahoo.com","eddydtsauir","4.93"
"email666@gmail.com","Web","0"
"email667@yahoo.com","Web","0"
"email668@gmail.com","elearnersauir","0.37"
"email669@yahoo.com","elearnersauir","68.61"
"email670@state.gov","Web","0"
"email671@aol.com","Web","0"
"email672@hotmail.com","elearnersauir","21.83"
"email673@yahoo.com","gradschoolsauir","56.53"
"email674@gmail.com","GRE","33.63"
"email675@gmail.com","Web","0"
"email676@gmail.com","MotherJonesEmail","75.71"
"email677@gmail.com","elearnersauir","160.22"
"email678@gmail.com","Direct Apply","0"
"email679@gmail.com","",""
"email680@gmail.com","elearnersauir","54.26"
"email681@gmail.com","Web","0"
"email682@gmail.com","Web","0"
"email683@gmail.com","Web","0"
"email684@gmail.com","Web","0"
"email685@gmail.com","elearnersauir","36.13"
"email686@vt.edu","elearnersauir","66.96"
"email687@2u.com","Direct Apply","0"
"email688@outlook.com","Web","0"
"email689@gmail.com","eddydtsauir","79"
"email690@gmail.com","devexemail","136.04"
"email691@loyola.edu","edassistscholsite","109.36"
"email692@gmail.com","Web","0"
"email693@gmail.com","Web","0"
"email694@gmail.com","Web","0"
"email695@baylor.edu","elearnersauir","105.79"
